错误代码,分类,返回文本
-245,故障,无法将数量汇报至 PM 模块
-246,故障,序列号重命名失败
-260,故障,SPA 测试未配置工位
-261,故障,SPA 测试未配置工作计划
-262,故障,SPA 测试未配置 Recipe
-263,故障,PAA 测试未配置工位
-264,故障,PAA 测试未配置工作计划
-265,故障,PAA 测试未配置 Recipe
-266,故障,PAA检测未配置序列号
-269,故障,由于异常状态为返工
-271,故障,序列号已包装
-272,故障,序列号已存在
-280,故障,序列号已被锁定于此锁定分组
-281,故障,锁定分组不存在
-282,故障,序列号未锁定
-283,故障,序列号库已存在
-284,故障,创建序列号库失败
-286,故障,删除序列号库失败
-287,故障,序列号库不存在
-288,故障,无法删除序列号库
-289,故障,序列号已在库中
-290,故障,序列号在此工序的状态为报废
-291,故障,尚未预订序列号！
-293,故障,序列号尚未被分配到任何库中
-294,故障,序列号已被分配到另个库中
-295,故障,无法去除序列号（状态无效）
-296,故障,序列号在此工序的状态为返工
-299,故障,序列号已被分配到一个维修工单中
-301,故障,序列号已组装
-302,故障,工单类型无效
-303,故障,改装工单已分配了一个序列号库
-312,故障,已退出序列号库
-316,故障,序列号库不明（库名与厂名必须唯一）
-317,故障,snrPoolState [0; 1; 2; 3] 值无效
-318,故障,序列号库未分配改装工单
-320,故障,此部件和工单类型未配置序列号生成
-321,故障,序列号生成失败
-322,故障,不存在此序列号和此工序的前期预订
-327,故障,工位状态无效
-328,故障,未创建工位状态
-329,故障,此工位测量数据不存在
-330,故障,MAJOR_FAILURE 值无效
-331,故障,故障类型代码无效
-332,故障,故障原因不存在
-333,故障,"未转交 ""COMP_NAME"" 的值"
-334,故障,依据零件清单此安装位置不存在
-335,故障,工序无效
-336,故障,未找到故障图像
-337,故障,未找到故障类型
-338,故障,用户 -> 未指配资格
-339,故障,故障未指配给工位
-340,故障,未找到工序作业
-342,故障,不允许删除错误
-343,故障,无法删除错误
-344,故障,序列号模式 -> 超出了范围
-345,故障,序列号模式无效
-346,故障,未找到错误列表
-348,故障,多连板分开失败
-349,故障,未找到故障措施
-350,故障,未找到故障处理行为
-351,故障,未找到对象零件
-352,故障,已有该时间段的测量数据
-353,故障,无工单网无法组装
-354,故障,待组装序列号的工单与工单网不匹配
-355,故障,生产工单时工单组的一部分
-356,故障,序列号不属于一个工单组
-357,故障,序列号属于另一个工单组
-358,故障,序列号位置与工单组不匹配
-359,故障,未在工序组找到位置
-360,故障,序列号位置 -> 数量与组大小不匹配
-361,故障,工单组 -> 位置针对工单无效
-362,故障,参照序列号必须属于虚拟工单
-400,故障,料箱不存在
-401,故障,未发现料箱（子箱）
-402,故障,料箱（子箱号）尚未锁定
-403,故障,料箱中的序列号有另一个部件编号
-404,故障,料箱中的序列号有另一个零件清单版本
-405,故障,料箱（子箱）已被分配到此箱中
-406,故障,料箱（子箱）已被分配到另一个箱中
-409,故障,装箱已完成，无法进一步处理
-410,故障,料箱已锁定，无法进一步处理
-412,故障,在另一工位上已激活此料箱
-413,故障,料箱（父箱）不存在
-416,故障,新料箱（父箱）不存在
-418,故障,料箱中不存在此序列号
-419,故障,料箱（子箱）不明
-421,故障,料箱未在工位上注册
-422,故障,部件编号尚未在箱子中配置
-423,故障,序列号已被分配到另一料箱中
-424,故障,序列号已被分配到此料箱中
-425,故障,部件编号与已包含的序列号不一致
-426,故障,零件清单版本与已包含的序列号版本不一致
-427,故障,序列号尚未分配到料箱中
-429,故障,此箱子不属于类型“料箱”
-430,故障,料箱装料量过低
-432,故障,料箱未分配
-436,故障,料箱尚未锁定
-437,故障,已达到包装数量
-438,故障,料箱未包含在上一级箱子（父箱）中
-439,故障,料箱已空
-440,故障,工单与已包含序列号的工单不一致
-441,故障,包装容器已发送，禁止处理
-450,故障,包装容器的批次属性的部件编号与序列号不同
-451,故障,批次属性“部件数量”的值无效。值必须大于 0。
-452,故障,批次属性“部件名称”的值无效。部件必须存在于系统中。
-453,故障,当该容量时，不得登记锁定的料箱。
-454,故障,当该容量时，只允许登记锁定的料箱。
-455,故障,序列号已禁用。在该工位上，不得包装锁定的序列号。
-456,故障,序列号 未锁定。在该工位上，只能包装锁定的序列号。
-457,故障,不得加工锁定的料箱或序列号。新的料箱未被锁定或含有未锁定的元素。
-458,故障,不得加工锁定的料箱或序列号。料箱已锁定或含有锁定的元素。
-459,故障,只能加工锁定的料箱或序列号。新的料箱未被锁定或含有未锁定的元素。
-461,故障,在该工位上，不得加工锁定的料箱或序列号。但是该料箱包含锁定的料箱或序列号。
-462,故障,在该工位上，只能加工锁定的料箱或序列号。但是该料箱包含未锁定的料箱或序列号。
-463,故障,在该工位上，不得加工锁定的料箱或序列号。但是新的子箱已锁定或含有锁定的元素。
-464,故障,在该工位上，只能加工锁定的料箱或序列号。但是新的子箱未被锁定或含有未锁定的元素。
-465,故障,发送失败 -> 料箱包含锁定元素；当该容量时，只能发送未锁定的元素。
-466,故障,发送失败 -> 料箱包含锁定未元素；当该容量时，只能发送锁定的元素。
-467,故障,封口失败 -> 料箱含有锁定的元素；当该容量时，只能为带有未锁定元素的料箱封口。
-468,故障,封口失败 -> 料箱含有未锁定的元素；当该容量时，只能为带有锁定元素的料箱封口。
-469,故障,序列号已经被归档，无法分配给料箱。
-501,故障,不止一个物料箱不存在
-502,故障,创建物料箱时出错
-503,故障,料箱不存在
-504,故障,只有在原箱号清空后才能创建一个已有箱号
-505,故障,停用物料箱时出错
-506,故障,物料箱在另一个工位上尚未完成加工
-507,故障,物料箱存在但现为空
-508,故障,物料箱已入库
-509,故障,物料批次不存在
-511,故障,物料箱还未在工位登录
-512,故障,物料箱已在另一个工位登录
-513,故障,该工位已注册了料箱
-514,故障,materialBinNumber [?; %; ’; -1] 中字符无效
-517,故障,无法调用/新建供应商
-518,故障,料箱状态无效
-519,故障,部件与料箱物料不匹配
-520,故障,物料箱与序列号属于另一个工单
-521,故障,物料箱与序列号属于同一个工单
-523,故障,部件已完成反向记录配置
-525,故障,transactionType 值无效
-526,故障,quantity 值无效
-527,故障,无法调用/新建收料
-528,故障,库位不存在
-531,故障,供应商不存在
-532,故障,物料批次已被锁定
-533,故障,物料箱状态无效
-534,故障,物料箱已登录
-535,故障,库位不明
-537,故障,料箱已被锁定在锁定分组中
-538,故障,物料批次已被锁定在此锁定分组中
-539,故障,并非所有料箱均被解锁
-542,故障,料箱已被锁定
-543,故障,料箱已过期
-544,故障,料箱为空
-545,故障,料箱已完成
-546,故障,物料批次号不明
-547,故障,未找到存储库位
-548,故障,新建物料批次时出错
-549,故障,物料箱已存在
-550,故障,物料箱编号不明
-551,故障,不允许物料箱裂开
-552,故障,物料箱不允许用于该部件
-560,故障,未找到订单
-561,故障,订单中有不同的部件
-565,故障,运单编号无效
-567,故障,预订状态无效
-601,故障,配置数据不存在
-602,故障,装料程序名称不明
-605,故障,此工位配置不存在
-606,故障,配置尚未分配到工单
-607,故障,尚有其他部件仍未配置
-609,故障,setupFlag [0; 1; 2] 值无效
-610,故障,setupState [0; 1] 值无效
-614,故障,部件在错误的工位上安装
-615,故障,工位在处理计划中不存在
-616,故障,部件在配置中不存在
-617,故障,安装位置在配置中不存在
-618,故障,配置位置无效
-619,故障,“配置”时间范围无效
-620,故障,部件错误，轨道已拆除
-622,故障,装备属于另一个工单
-623,故障,已配置辅助部件
-624,故障,没有为使用标签分配序列号
-701,故障,Recipe 数据不存在
-702,故障,Recipe 头数据不存在
-704,故障,Recipe 尚未激活
-705,故障,Recipe 尚未停用
-706,故障,Recipe 不存在
-707,故障,不存在已激活的 recipe
-709,故障,测量工序名称不明
-710,故障,测量数据与激活的 Recipe 不匹配
-712,故障,未转交测量数据
-714,故障,serialUnitTrace [0; 1] 值无效
-716,故障,未创建 Recipe
-717,故障,functionMode [0; 1] 值无效
-718,故障,对象类型无效
-719,故障,工位或机器分组未设置
-721,故障,Recipe 要求记录测量数据
-722,故障,targetType 值无效
-723,故障,MDA 数据头不存在
-724,故障,MDA 数据头不明
-725,故障,无法处理测量数据
-726,故障,MDA 对象文件名称不存在
-727,故障,MDA 对象 URL 地址不存在
-728,故障,MDA 对象描述不存在
-730,故障,创建文件失败
-731,故障,MDA 项目 -> 版本已使用
-901,故障,属性代码不存在
-904,故障,属性代码必须至少含有一个字符
-905,故障,“objectType”的值无效
-906,故障,基于“attributeValueKey”的属性值不明
-907,故障,属性已存在
-910,故障,已为序列号分配了属性代码
-911,故障,此序列号属性不存在
-912,故障,尚未有序列号使用此属性值
-913,故障,此序列号无属性存在
-920,故障,已为工单分配了属性代码
-921,故障,此工单属性不存在
-922,故障,尚未有工单使用此属性值
-923,故障,此工单无属性存在
-930,故障,已为料箱分配了属性代码
-931,故障,此料箱属性不存在
-932,故障,尚未有料箱使用此属性值
-933,故障,此料箱的属性不存在
-935,故障,属性代码已指定
-936,故障,属性不存在
-1001,故障,未知建议
-1002,故障,建议确认已失败
-1101,故障,零件清单不存在
-1102,故障,零件清单比较失败
-1103,故障,班次不存在
-1104,故障,desolvingFlag [[0; 1; 2; 3; 4; 5] 值无效
-1105,故障,此工单的零件清单不存在
-1106,故障,此工单的零件清单不存在
-1107,故障,未处理零件清单位置
-1108,故障,未处理所有零件清单位置
-1109,故障,零件清单位置 -> 组件名称（安装地点）无效
-1110,故障,零件清单位置 -> 组件类型无效
-1111,故障,未找到零件清单位置
-1112,故障,BOM点位尚未创建
-1113,故障,不能更新零件清单位置
-1114,故障,工序组 -> 名称已被使用
-1115,故障,不能更新工单组
-1116,故障,工单组 -> 虚拟工单不明
-1117,故障,工单组 -> 位置已占用
-1118,故障,工单组状态无效 
-1119,故障,工单组 -> 未找到类型
-1120,故障,工单组 -> 类型无效
-1121,故障,工单组 -> 工单已经是其他工单组的一部分
-1122,故障,未找到工单组
-1123,故障,工单组 -> 创建失败
-1200,故障,机器状态/讯息不存在
-1201,故障,机器状态/讯息未分配到转交的工位
-1202,故障,团队未被授权进入此产线
-1203,故障,此状态并非产线状态
-1204,故障,不允许更改机器讯息
-1205,故障,机器状态/讯息状态无效
-1206,故障,机器处于第二次故障状态（无法更新）
-1207,故障,机器状态类型不存在 [O; Q; S; T]
-1208,故障,机器状态/讯息分组不存在
-1209,故障,机器状态/讯息已存在
-1210,故障,机器状态/讯息类不存在
-1211,故障,已使用起始时间
-1301,故障,设备不存在
-1302,故障,设备无效
-1303,故障,设备编号已出现多次
-1304,故障,设备状态无效
-1305,故障,设备已过期
-1306,故障,设备不可用
-1307,故障,设备数据前后不一致
-1308,故障,尚未为工单分配工位
-1309,故障,设备测试反馈错误
-1310,故障,setupFlag 值无效
-1311,故障,已配置设备
-1312,故障,燃料型号无效
-1313,故障,设备数量无效
-1314,故障,设备 -> 未找到供料器/喷嘴/顶部的标准部件
-1315,故障,设备 -> 供料器/喷嘴/顶部的标准部件未配置
-1316,故障,设备部件不存在
-1317,故障,设备 -> 未找到供料器/喷嘴/顶部类型的标准部件 
-1400,故障,功能分组不存在
-1401,故障,功能名称不存在
-1402,故障,功能参数不存在
-1500,故障,脚本不存在
-1501,故障,脚本尚未激活
-1502,故障,脚本尚未执行
-2000,故障,公式参数缺失
-2001,故障,公式参数无法转换
-2002,故障,公式无效
-2003,故障,公式计算失败
-2004,故障,针对此序列号无预订
-2005,故障,不存在已激活的工单
-2006,故障,stateCheck [0; 1] 值无效
-2007,故障,confirmFlag [0; 1] 值无效
-2008,故障,应用程序标识无效
-2009,故障,应用程序标识不存在
-2010,故障,应用程序标识已锁定
-2011,故障,结束日期早于起始日期
-2012,故障,batchComplete [0; 1] 值无效
-2013,故障,值已超出有效范围
-2014,故障,未找到客户
-2015,故障,日期无效
-2016,故障,工单类型不适合工作计划类型
-2017,故障,部件不可用
-2018,故障,部件类型无效
-2019,故障,处理状态无效
-2020,故障,生产区域无效
-2021,故障,工单类型无效
-2022,故障,控制代码无效
-2023,故障,反向无效
-2024,故障,数量 -> 数值超出有效范围
-2025,故障,生产工单已存在
-2026,故障,生产订单 -> PCB指定无效
-2027,故障,部件状态无效
-2028,故障,部件分组的部件分组类型无效
-2029,故障,工作计划不能用于第一个批量
-2030,故障,工作计划无效
-2031,故障,工作计划未启动
-2032,故障,工作计划不含有效工序
-2033,故障,工作计划包含无效工序
-2034,故障,工作计划 -> 未找到备选工作计划的有效工单编号模式
-2035,故障,未找到生产控制器
-2036,故障,无合适的M工位
-2037,故障,未找到工位工序
-2038,故障,工位不属于生产线
-2039,故障,部件不属于该部件分组
-2040,故障,工作计划 -> 类型无效
-2041,故障,工作计划 -> 备选不适合工作计划类型
-2042,故障,工作计划 -> 备选无效
-2043,故障,未找到工厂
-2044,故障,工位 -> 类型无效
-2045,故障,工位未激活
-2046,故障,工位 -> 未找到参照
-2047,故障,加工单元未激活
-2048,故障,未找到加工单元
-2049,故障,机器分组未激活
-2050,故障,机器分组不存在
-2051,故障,生产线未激活
-2060,故障,禁止修改工单数量
-2061,故障,机器分组不明
-2062,故障,容器是空的
-2063,故障,functionMode的值无效 
-2064,故障,生产工单 -> 缺少参数
-2070,故障,IMSApi密匙已多次用于该功能
-2100,故障,序列号已发送给SCT
-2101,故障,从站序列号已发送给SCT
-2102,故障,索引有重复
-2103,故障,索引无效
-2104,故障,序列号已分配给工单
-2105,故障,工位无 TR 或 PM 许可证
-2106,故障,工厂无 Rule 许可证
-2107,故障,工厂无 ML 许可证
-2108,故障,工位无 APS 许可证
-2109,故障,生产工单处于“未启用”状态
-2110,故障,序列号位置无效
-2111,故障,未找到主工作计划
-2112,故障,部件并非产品
-2113,故障,ERP 分组无效
-2115,故障,工序无效
-3000,故障,SMT 数据尚未处理
-3001,故障,尚无验证人存在
-3002,故障,验证失败
-3003,故障,未知错误
-3004,故障,料箱编号含有无效字符
-3005,故障,装备与零部件清单不匹配
-3006,故障,SMT -> 事件类型无效
-3007,故障,SMT -> 生产线类型对此配置无效
-3100,故障,MSL -> 浸泡时间不存在
-3101,故障,MSL -> 对于料箱 {0} 不存在
-3102,故障,MSL 不明
-3103,故障,MSL -> 状态更改无效：烘烤 -> 锁定
-3104,故障,MSL -> 零件的状态不是烘烤中
-3105,故障,MSL -> 对于序列号不存在
-3106,故障,MSL -> 使用日期无法达到
-3108,故障,MSL -> 已装备料箱
-3109,故障,MSL -> 记录日期无效
-3110,故障,MSL_LEVEL 值无效
-3111,故障,MSL -> 不正确的配置（出厂参数 7070）
-3200,故障,未找到外部数据
-3201,故障,该名称下未找到外部数据
-3202,故障,外部数据未指配
-3203,故障,外部数据未激活
-3204,故障,外部数据 -> 数据太少
-3205,故障,外部数据已指配
-3206,故障,禁止删除外部数据
-3207,故障,控制参数值无效
-3208,故障,状态无效
-3209,故障,超过最大值
-3210,故障,未找到类型
-3211,故障,类型无效
-3212,故障,已有外部数据
-3213,故障,外部数据 - > 没有输入名称
-3300,故障,尺寸不明确
-3301,故障,已有参数
-3302,故障,参数不存在
-3303,故障,未找到有效范围
-3304,故障,未找到设置类型
-3305,故障,参数组筛选器重复
-3307,故障,未找到参数值
-3308,故障,参数值重复
-3309,故障,缺少参数代码
-3311,故障,尺寸过滤器缺失
-3312,故障,只允许将一个尺寸设置为筛选条件
-3313,故障,无法删除参数
-3314,故障,缺少参数权限
-3315,故障,缺少参数筛选器
-3316,故障,参数值格式错误
-3400,故障,成本中心不存在
-3401,故障,工资类型不存在
-3402,故障,工资类型 -> 不存在与成本中心的连接
-3403,故障,pFDC 预订 -> 预订模式无效
-3405,故障,错误信息 -> 数量无效
-3406,故障,未找到 pFDC 预订
-3407,故障,pFDC预订 -> 禁止更改：用户不同
-3408,故障,pFDC预订 -> 禁止更改：预订已批准
-3409,故障,pFDC 预订无效 -> 缺少工单参数
-3410,故障,pFDC预订 -> 不允许工资类型的定量预订
-3411,故障,作业类型无效
-3412,故障,禁止修改工资类型
-3413,故障,仅可预订针对定量预订的数量
-3414,故障,STATION_SELECTION 的值无效
-3415,故障,CONFIRMATION_MODE 的值无效
